Dates_Sold,Median_Price,Quantity_Sold
May 29 2015,81.14,1
Jul 17 2015,76.07,1
Jul 25 2016,77.44,1
Oct 16 2018,66.4,1
Oct 17 2019,63,1
Nov 25 2019,35,1
Nov 27 2019,30,1
Jan 27 2020,59.99,1
May 7 2020,59.99,1
Jun 1 2020,59.99,1
Jul 2 2020,59.99,1
